State,District,Year,Name,Vote Share,Body,Party,Campaign Twitter,Personal Twitter,Official Twitter,_merge
Alabama,District 2,2012.0,Martha Roby,64,U.S. House,Republican,,,https://www.twitter.com/RepMarthaRoby,both
Alabama,District 3,2012.0,Mike Rogers,64,U.S. House,Republican,https://www.twitter.com/MikeRogersCamp,,https://www.twitter.com/RepMikeRogersAL,both
Alabama,District 5,2012.0,Mo Brooks,65,U.S. House,Republican,https://www.twitter.com/MoInTheHouse,,https://www.twitter.com/RepMoBrooks,both
Alabama,District 4,2012.0,Robert Aderholt,74,U.S. House,Republican,,,https://www.twitter.com/Robert_Aderholt,both
Alabama,District 7,2012.0,Terri Sewell,76,U.S. House,Democratic,https://www.twitter.com/Sewell4Congress,,https://www.twitter.com/RepTerriSewell,both
Alaska,At-Large District,2012.0,Don Young,68,U.S. House,Republican,https://www.twitter.com/DonYoungAK,,https://www.twitter.com/RepDonYoung,both
Arizona,District 1,2012.0,Ann Kirkpatrick,52,U.S. House,Democratic,https://www.twitter.com/Ann_Kirkpatrick,,https://www.twitter.com/RepKirkpatrick,both
Arizona,District 6,2012.0,David Schweikert,64,U.S. House,Republican,,https://www.twitter.com/DavidSchweikert,https://www.twitter.com/RepDavid,both
Arizona,District 9,2012.0,Kyrsten Sinema,52,U.S. House,Democratic,,,https://www.twitter.com/senatorsinema,both
Arizona,District 2,2012.0,Martha McSally,50,U.S. House,Republican,https://www.twitter.com/MarthaMcSally,,https://www.twitter.com/SenMcSallyAZ,both
Arizona,District 4,2012.0,Paul Gosar,69,U.S. House,Republican,,https://www.twitter.com/DrPaulGosar,https://www.twitter.com/REPGOSAR,both
Arizona,District 3,2012.0,Raul Grijalva,61,U.S. House,Democratic,,,https://www.twitter.com/repraulgrijalva,both
Arkansas,District 1,2012.0,Rick Crawford,59,U.S. House,Republican,https://www.twitter.com/Crawford4Cong,,https://www.twitter.com/RepRickCrawford,both
Arkansas,District 3,2012.0,Steve Womack,80,U.S. House,Republican,https://www.twitter.com/womack4congress,,https://www.twitter.com/rep_stevewomack,both
Arkansas,District 4,2012.0,Tom Cotton,61,U.S. House,Republican,https://www.twitter.com/TomCottonAR,,https://www.twitter.com/SenTomCotton,both
California,District 28,2012.0,Adam Schiff,76,U.S. House,Democratic,https://www.twitter.com/AdamSchiff,,https://www.twitter.com/RepAdamSchiff,both
California,District 47,2012.0,Alan Lowenthal,57,U.S. House,Democratic,https://www.twitter.com/alanlowenthal,,https://www.twitter.com/RepLowenthal,both
California,District 7,2012.0,Ami Bera,52,U.S. House,Democratic,https://www.twitter.com/BeraForCongress,,https://www.twitter.com/RepBera,both
California,District 18,2012.0,Anna Eshoo,70,U.S. House,Democratic,https://www.twitter.com/Eshoo4Congress,,https://www.twitter.com/RepAnnaEshoo,both
California,District 13,2012.0,Barbara Lee,87,U.S. House,Democratic,https://www.twitter.com/BLeeForCongress,,https://www.twitter.com/RepBarbaraLee,both
California,District 30,2012.0,Brad Sherman,60,U.S. House,Democratic,,,https://www.twitter.com/BradSherman,both
California,District 48,2012.0,Dana Rohrabacher,61,U.S. House,Republican,,https://www.twitter.com/danarohrabacher,,both
California,District 49,2012.0,Darrell Issa,58,U.S. House,Republican,https://www.twitter.com/TeamIssa,https://www.twitter.com/DarrellIssa,,both
California,District 22,2012.0,Devin Nunes,62,U.S. House,Republican,https://www.twitter.com/Team_Nunes,https://www.twitter.com/DevinNunes,https://www.twitter.com/RepDevinNunes,both
California,District 6,2012.0,Doris Matsui,75,U.S. House,Democratic,https://www.twitter.com/Matsui4Congress,,https://www.twitter.com/DorisMatsui,both
California,District 50,2012.0,Duncan Hunter,68,U.S. House,Republican,,,https://www.twitter.com/Rep_Hunter,both
California,District 15,2012.0,Eric Swalwell,52,U.S. House,Democratic,https://www.twitter.com/ericswalwell,,https://www.twitter.com/RepSwalwell,both
