State,Winner,Margin of Victory,Total Votes,Top Opponent
"North Carolina, District 7",Mike McIntyre,0.2%,"336,736",David Rouzer
"Illinois, District 13",Rodney Davis,0.3%,"294,385",David Gill
"Utah, District 4",Jim Matheson,0.3%,"245,277",Mia B. Love
"Michigan, District 1",Dan Benishek,0.5%,"347,037",Gary McDowell
"Florida, District 18",Patrick Murphy,0.6%,"330,665",Allen West
"Arizona, District 2",Ron Barber,0.8%,"292,279",Martha McSally
"Massachusetts, District 6",John Tierney,1.1%,"389,852",Richard Tisei
"Minnesota, District 6",Michele Bachmann,1.2%,"355,153",Jim Graves
"Illinois, District 10",Brad Schneider,1.3%,"264,454",Robert J. Dold
"Indiana, District 2",Jackie Walorski,1.4%,"273,475",Brendan Mullen
"New York, District 27",Chris Collins,1.5%,"329,768",Kathy Hochul
"Nebraska, District 2",Lee Terry,1.6%,"263,731",John Ewing
"New York, District 21",Bill Owens,1.9%,"268,741",Matthew Doheny
"Colorado, District 6",Mike Coffman,2%,"342,891",Joe Miklosi
"California, District 52",Scott Peters,2.4%,"295,910",Brian Bilbray
"Connecticut, District 5",Elizabeth Esty,2.6%,"284,747",Andrew Roraback
"California, District 7",Ami Bera,3.4%,"273,291",Dan Lungren
"Florida, District 10",Daniel Webster,3.5%,"318,269",Val Demings
"Pennsylvania, District 12",Keith Rothfus,3.5%,"338,941",Mark Critz
"Arizona, District 1",Ann Kirkpatrick,3.6%,"251,595",Jonathon Paton
"New York, District 23",Tom Reed,3.6%,"279,796",Nate Shinagawa
"New York, District 18",Sean Maloney,3.7%,"295,436",Nan Hayworth
"New Hampshire, District 1",Carol Shea-Porter,3.8%,"344,830",Frank Guinta
"Kentucky, District 6",Andy Barr,3.9%,"303,000",Ben Chandler
"Arizona, District 9",Kyrsten Sinema,4.1%,"250,141",Vernon B. Parker
"Ohio, District 16",James B. Renacci,4.1%,"355,765",Betty Sutton
"California, District 15",Eric Swalwell,4.2%,"231,034",Pete Stark
"New York, District 1",Tim Bishop,4.6%,"294,578",Randy Altschuler
"New Hampshire, District 2",Ann McLane Kuster,4.8%,"337,188",Charles Bass
"Texas, District 23",Pete Gallego,4.8%,"192,169",Francisco Canseco
"New York, District 11",Michael Grimm,5%,"214,755",Mark Murphy
"New York, District 19",Chris Gibson,5.3%,"305,882",Julian Schreibman
"New York, District 24",Dan Maffei,5.3%,"303,567",Ann Marie Buerkle
"California, District 26",Julia Brownley,5.4%,"263,935",Tony Strickland
"California, District 10",Jeff Denham,5.4%,"209,199",Jose Hernandez
"Florida, District 2",Steve Southerland II,5.5%,"333,718",Al Lawson
"California, District 36",Raul Ruiz,5.9%,"208,142",Mary Bono Mack
"North Carolina, District 9",Robert Pittenger,6.1%,"375,690",Jennifer Roberts
"Michigan, District 11",Kerry Bentivolio,6.4%,"358,124",Syed Taj
"Ohio, District 6",Bill Johnson,6.5%,"308,980",Charlie Wilson
"Illinois, District 17",Cheri Bustos,6.6%,"288,152",Bobby Schilling
"West Virginia, District 3",Nick Rahall,7.1%,"191,518",Rick Snuffer
"Florida, District 16",Vern Buchanan,7.2%,"349,076",Keith Fitzgerald
"Georgia, District 12",John Barrow,7.4%,"259,121",Lee Anderson
"Nevada, District 3",Joe Heck,7.5%,"272,523",John Oceguera
"Virginia, District 2",Scott Rigell,7.7%,"309,222",Paul Hirschbiel
"North Carolina, District 8",Richard Hudson,7.8%,"302,280",Larry Kissell
"California, District 33",Henry Waxman,7.9%,"318,520",Bill Bloomfield
"Washington, District 1",Suzan DelBene,7.9%,"328,212",John Koster
"Nevada, District 4",Steven Horsford,8%,"240,492",Danny Tarkanian
"Iowa, District 4",Steve King,8.1%,"377,657",Christie Vilsack
"Minnesota, District 2",John Kline,8.2%,"358,446",Mike Obermuller
"Michigan, District 3",Justin Amash,8.4%,"326,281",Steve Pestka
"California, District 3",John Garamendi,8.5%,"233,968",Kim Vann
"Iowa, District 3",Tom Latham,8.6%,"386,270",Leonard Boswell
"Illinois, District 12",William Enyart,8.9%,"303,947",Jason Plummer
"Minnesota, District 8",Rick Nolan,8.9%,"353,663",Chip Cravaack
"New Jersey, District 3",Jon Runyan,8.9%,"324,408",Shelley Adler
"Texas, District 14",Randy Weber,8.9%,"245,839",Nick Lampson
"Hawaii, District 1",Colleen Hanabusa,9%,"217,796",Charles Djou
"Florida, District 22",Lois Frankel,9.3%,"313,071",Adam Hasner
"Illinois, District 8",Tammy Duckworth,9.5%,"225,066",Joe Walsh
"California, District 25",Buck McKeon,9.6%,"236,575",Lee Rogers
"California, District 24",Lois Capps,10.2%,"284,495",Abel Maldonado
"Michigan, District 7",Tim Walberg,10.3%,"318,069",Kurt R. Haskell
"Indiana, District 8",Larry Bucshon,10.3%,"283,992",Dave Crooks
"California, District 31",Gary Miller,10.4%,"161,219",Bob Dutton
"Montana, At-Large, District",Steve Daines,10.5%,"479,740",Kim Gillan
"Florida, District 26",Joe Garcia,10.6%,"252,957",David Rivera
"Indiana, District 9",Todd Young,10.9%,"298,180",Shelli Yoder
"California, District 9",Jerry McNerney,11.1%,"213,077",Ricky Gill
"South Carolina, District 5",Mick Mulvaney,11.1%,"278,003",Joyce Knott
"South Carolina, District 7",Tom Rice,11.1%,"275,738",Gloria Bromell Tinubu
"Tennessee, District 4",Scott DesJarlais,11.5%,"230,590",Eric Stewart
"Wisconsin, District 1",Paul Ryan,11.5%,"365,058",Rob Zerban
"Oregon, District 5",Kurt Schrader,11.6%,"327,970",Fred Thompson
"California, District 35",Gloria Negrete McLeod,11.7%,"142,680",Joe Baca
"Michigan, District 6",Fred Upton,12%,"320,475",Mike O'Brien
"Wisconsin, District 8",Reid Ribble,12%,"355,464",Jamie Wall
"Rhode Island, District 1",David Cicilline,12.1%,"205,115",Brendan Doherty
"Colorado, District 3",Scott Tipton,12.3%,"347,247",Sal Pace
"New Jersey, District 5",Scott Garrett,12.3%,"304,371",Adam Gussen
"Wisconsin, District 7",Sean Duffy,12.3%,"359,669",Pat Kreitlow
"Virginia, District 5",Robert Hurt,12.6%,"348,111",John Douglass
"Colorado, District 7",Ed Perlmutter,12.7%,"340,970","Joe Coors, Jr."
"Ohio, District 7",Bob Gibbs,12.8%,"315,812",Joyce Healy-Abrams
"Iowa, District 2",Dave Loebsack,13.1%,"380,952",John Archer
"California, District 47",Alan Lowenthal,13.1%,"230,012",Gary DeLong
"North Dakota, At-Large, District",Kevin Cramer,13.2%,"316,224",Pam Gulleson
"Pennsylvania, District 8",Michael G. Fitzpatrick,13.2%,"352,238",Kathryn Boockvar
"Pennsylvania, District 15",Charlie Dent,13.5%,"297,724",Rick Daugherty
"North Carolina, District 13",George E.B. Holding,13.6%,"370,610",Charles Malone
"Pennsylvania, District 3",Mike Kelly,13.8%,"302,514",Missa Eaton
"North Carolina, District 10",Patrick McHenry,14%,"334,849",Patricia Keever
"Virginia, District 4",Randy Forbes,14%,"350,046",Ella Ward
"Pennsylvania, District 6",Jim Gerlach,14.3%,"335,528",Manan Trivedi
"Florida, District 6",Ron DeSantis,14.4%,"342,451",Heather Beaven
"New York, District 25",Louise Slaughter,14.4%,"322,760",Maggie Brooks
"North Carolina, District 2",Renee Ellmers,14.5%,"311,397",Steve Wilkins
