District,Winner,Margin of Victory,Total Vote,Top Opponent
Alabama District 1,Bradley Byrne,36.4%,152234,Burton LeFlore
Alabama District 2,Martha Roby,34.8%,167952,Erick Wright
Alabama District 3,Mike Rogers,32.4%,"156,620",Jesse Smith
Alabama District 4,Robert Aderholt,97.1%,134752,Write-in
Alabama District 5,Mo Brooks,49.3%,"154,974",Jerry Hill
Alabama District 6,Gary Palmer,52.5%,178449,Mark Lester
Alabama District 7,Terri Sewell,96.7%,"135,899",Write-in
Alaska's At-Large District,Don Young,10%,"279,741",Forrest Dunbar
Arizona District 1,Ann Kirkpatrick,5.2%,185114,Andy Tobin
Arizona District 2,Martha McSally,0.1%,"219,351",Ron Barber
Arizona District 3,Raul Grijalva,11.5%,104428,Gabriela Saucedo Mercer
Arizona District 4,Paul Gosar,44.2%,"175,179",Mikel Weisser
Arizona District 5,Matt Salmon,39.2%,"179,463",James Woods
Arizona District 6,David Schweikert,29.7%,"199,776",John Williamson
Arizona District 7,Ruben Gallego,60.1%,"72,454",Joe Cobb
Arizona District 8,Trent Franks,51.6%,"169,776",Stephen Dolgos
Arizona District 9,Kyrsten Sinema,12.8%,162062,Wendy Rogers
Arkansas District 1,Rick Crawford,30.9%,196256,Jackie McPherson
Arkansas District 2,French Hill,8.3%,237330,Patrick Hays
Arkansas District 3,Steve Womack,58.8%,"190,935",Grant Brand
Arkansas District 4,Bruce Westerman,11.2%,"206,131",James Lee Witt
California District 10,Jeff Denham,12.3%,"125,705",Michael Eggman
California District 11,Mark DeSaulnier,34.5%,"174,662",Tue Phan-Quang
California District 12,Nancy Pelosi,66.5%,"192,264",John Dennis
California District 13,Barbara Lee,77%,190431,Dakin Sundeen
California District 14,Jackie Speier,53.4%,149146,Robin Chew
California District 15,Eric Swalwell,39.6%,"142,906",Hugh Bussell
California District 16,Jim Costa,1.5%,91220,Johnny Tacherra
California District 17,Mike Honda,3.5%,"134,408",Ro Khanna
California District 18,Anna Eshoo,35.5%,"196,386",Richard Fox
California District 19,Zoe Lofgren,34.4%,"127,788",Robert Murray
California District 1,Doug La Malfa,22.1%,"216,372",Heidi Hall
California District 20,Sam Farr,50.4%,"141,044",Ronald Paul Kabat
California District 21,David Valadao,15.7%,"79,377",Amanda Renteria
California District 22,Devin Nunes,44.1%,133342,Suzanna Aguilera-Marrero
California District 23,Kevin McCarthy,49.7%,134043,Raul Garcia
California District 24,Lois Capps,3.9%,198794,Chris Mitchum
California District 25,Steve Knight,6.7%,"114,072",Tony Strickland
California District 26,Julia Brownley,2.7%,"169,829",Jeff Gorell
California District 27,Judy Chu,18.7%,"127,580",Jack Orswell
California District 28,Adam Schiff,53%,"120,264",Steve Stokes
