District,Winner,Winner votes (%),Runner-up,Runner-up votes (%),Total votes,Margin of victory
Wyoming at-large,Liz Cheney,63.59%,Greg Hunter,29.77%,"201,245",33.82%
Wisconsin's 8th Congressional District,Michael Gallagher,63.71%,Beau Liegeois,36.29%,"328,675",27.43%
Wisconsin's 7th Congressional District,Sean Duffy,60.12%,Margaret Engebretson,38.51%,"322,787",21.61%
Wisconsin's 6th Congressional District,Glenn Grothman,55.51%,Dan Kohl,44.49%,"324,847",11.01%
Wisconsin's 5th Congressional District,Jim Sensenbrenner,61.98%,Tom Palzewicz,38.02%,"364,005",23.97%
Wisconsin's 4th Congressional District,Gwen Moore,75.71%,Tim Rogers,21.67%,"272,748",54.04%
Wisconsin's 3rd Congressional District,Ron Kind,59.67%,Steve Toft,40.33%,"314,868",19.34%
Wisconsin's 2nd Congressional District,Mark Pocan,99.99%,Write-ins,0.01%,"309,154",99.98%
Wisconsin's 1st Congressional District,Bryan Steil,54.61%,Randy Bryce,42.31%,"325,013",12.30%
West Virginia's 3rd Congressional District,Carol Miller,56.37%,Richard Ojeda,43.63%,"174,985",12.75%
West Virginia's 2nd Congressional District,Alexander Mooney,53.96%,Talley Sergent,42.98%,"204,792",10.98%
West Virginia's 1st Congressional District,David McKinley,64.58%,Kendra Fershee,35.42%,"198,214",29.15%
Washington's 9th Congressional District,Adam Smith,67.90%,Sarah Smith,32.10%,"240,567",35.80%
Washington's 8th Congressional District,Kim Schrier,52.42%,Dino Rossi,47.58%,"313,057",4.83%
Washington's 7th Congressional District,Pramila Jayapal,83.56%,Craig Keller,16.44%,"394,681",67.12%
Washington's 6th Congressional District,Derek Kilmer,63.89%,Douglas Dightman,36.11%,"323,086",27.77%
Washington's 5th Congressional District,Cathy McMorris Rodgers,54.76%,Lisa Brown,45.24%,"320,347",9.52%
Washington's 4th Congressional District,Dan Newhouse,62.82%,Christine Brown,37.18%,"225,336",25.64%
Washington's 3rd Congressional District,Jaime Herrera Beutler,52.67%,Carolyn Long,47.33%,"307,226",5.34%
Washington's 2nd Congressional District,Rick Larsen,71.29%,Brian Luke,28.71%,"294,833",42.58%
Washington's 1st Congressional District,Suzan DelBene,59.27%,Jeffrey Beeler,40.73%,"332,743",18.54%
Washington's 10th Congressional District,Denny Heck,61.54%,Joseph Brumbles,38.46%,"270,075",23.09%
Virginia's 9th Congressional District,Morgan Griffith,65.16%,Anthony Flaccavento,34.75%,"246,980",30.41%
Virginia's 8th Congressional District,Don Beyer,76.10%,Thomas Oh,23.68%,"324,748",52.42%
Virginia's 7th Congressional District,Abigail Spanberger,50.34%,David Brat,48.40%,"349,803",1.94%
Virginia's 6th Congressional District,Ben Cline,59.69%,Jennifer Lewis,40.21%,"281,377",19.48%
Virginia's 5th Congressional District,Denver Riggleman,53.18%,Leslie Cockburn,46.65%,"310,926",6.53%
Virginia's 4th Congressional District,Donald McEachin,62.58%,Ryan McAdams,35.92%,"299,854",26.66%
Virginia's 3rd Congressional District,Bobby Scott,91.22%,Write-ins,8.78%,"217,722",82.45%
Virginia's 2nd Congressional District,Elaine Luria,51.05%,Scott Taylor,48.81%,"273,400",2.24%
Virginia's 1st Congressional District,Rob Wittman,55.18%,Vangie Williams,44.70%,"332,101",10.47%
Virginia's 11th Congressional District,Gerald Connolly,71.11%,Jeff Dove,26.93%,"308,250",44.17%
Virginia's 10th Congressional District,Jennifer Wexton,56.11%,Barbara Comstock,43.73%,"367,795",12.38%
Vermont at-large,Peter Welch,69.20%,Anya Tynio,25.95%,"272,451",43.25%
Utah's 4th Congressional District,Ben McAdams,50.12%,Mia Love,49.86%,"269,271",0.26%
Utah's 3rd Congressional District,John Curtis,67.55%,James Singer,27.31%,"258,858",40.24%
Utah's 2nd Congressional District,Chris Stewart,56.10%,Shireen Ghorbani,38.90%,"270,044",17.20%
Utah's 1st Congressional District,Rob Bishop,61.61%,Lee Castillo,24.89%,"254,333",36.72%
Texas' 9th Congressional District,Al Green,89.06%,Phil Kurtz,3.88%,"153,001",85.17%
Texas' 8th Congressional District,Kevin Brady,73.44%,Steven David,24.87%,"273,170",48.57%
Texas' 7th Congressional District,Lizzie Pannill Fletcher,52.53%,John Culberson,47.47%,"243,601",5.06%
Texas' 6th Congressional District,Ronald Wright,53.10%,Jana Lynne Sanchez,45.44%,"256,042",7.66%
Texas' 5th Congressional District,Lance Gooden,62.34%,Dan Wood,37.55%,"209,507",24.80%
Texas' 4th Congressional District,John Ratcliffe,75.70%,Catherine Krantz,23.03%,"249,245",52.67%
Texas' 3rd Congressional District,Van Taylor,54.24%,Lorie Burch,44.23%,"312,511",10.01%
Texas' 36th Congressional District,Brian Babin,72.56%,Dayna Steele,27.44%,"221,956",45.12%
Texas' 35th Congressional District,Lloyd Doggett,71.25%,David Smalling,26.05%,"194,067",45.20%
Texas' 34th Congressional District,Filemon Vela,59.99%,Rey Gonzalez,40.01%,"143,068",19.98%
Texas' 33rd Congressional District,Marc Veasey,76.16%,Willie Billups,21.91%,"119,224",54.26%
Texas' 32nd Congressional District,Colin Allred,52.27%,Pete Sessions,45.75%,"275,620",6.52%
Texas' 31st Congressional District,John Carter,50.59%,M.J. Hegar,47.68%,"286,007",2.91%
Texas' 30th Congressional District,Eddie Bernice Johnson,91.05%,Shawn Jones,8.95%,"183,174",82.10%
Texas' 2nd Congressional District,Daniel Crenshaw,52.84%,Todd Litton,45.56%,"263,392",7.29%
Texas' 29th Congressional District,Sylvia Garcia,75.06%,Phillip Aronoff,23.91%,"117,494",51.14%
Texas' 28th Congressional District,Henry Cuellar,84.39%,Arthur Thomas IV,15.61%,"139,226",68.78%
Texas' 27th Congressional District,Michael Cloud,60.32%,Eric Holguin,36.61%,"207,421",23.71%
Texas' 26th Congressional District,Michael Burgess,59.38%,Linsey Fagan,39.02%,"312,505",20.36%
Texas' 25th Congressional District,Roger Williams,53.53%,Julie Oliver,44.78%,"304,553",8.75%
Texas' 24th Congressional District,Kenny Marchant,50.61%,Jan McDowell,47.54%,"263,418",3.07%
Texas' 23rd Congressional District,Will Hurd,49.17%,Gina Ortiz Jones,48.73%,"210,069",0.44%
Texas' 22nd Congressional District,Pete Olson,51.36%,Sri Preston Kulkarni,46.45%,"297,405",4.91%
Texas' 21st Congressional District,Chip Roy,50.24%,Joseph Kopser,47.63%,"353,617",2.61%
Texas' 20th Congressional District,Joaquin Castro,80.85%,Jeffrey Blunt,19.15%,"171,963",61.71%
Texas' 1st Congressional District,Louie Gohmert,72.26%,Shirley McKellar,26.32%,"232,720",45.94%
Texas' 19th Congressional District,Jodey Arrington,75.23%,Miguel Levario,24.77%,"201,985",50.45%
Texas' 18th Congressional District,Sheila Jackson Lee,75.25%,Ava Pate,20.81%,"184,332",54.43%
Texas' 17th Congressional District,Bill Flores,56.81%,Rick Kennedy,41.32%,"237,351",15.49%
Texas' 16th Congressional District,Veronica Escobar,68.46%,Rick Seeberger,27.03%,"181,754",41.44%
Texas' 15th Congressional District,Vicente González,59.67%,Tim Westley,38.75%,"164,802",20.92%
Texas' 14th Congressional District,Randy Weber,59.24%,Adrienne Bell,39.32%,"234,528",19.93%
Texas' 13th Congressional District,Mac Thornberry,81.54%,Greg Sagan,16.93%,"207,285",64.62%
